"A acocote nuevo, tlachiquero viejo."
"Borregos bobos, donde va uno, van todos."
"Botas y gabán, cubren mucho mal."
"Bromas y aceitunas, pocas o ningunas."
"Buen pensar, cerca la mar."
"Buen vino y buen pan, ellos se pregonarán."
Buena es la libertad pero no el libertinaje.
"Buena mano, de rocín hace caballo."
Buena olla y mal testamento.
Buenas p'al petate y malas p'al metate.
"Bueno es caer, para más valer."
Bueno es raspar pero no arrancar los magueyes.
"Bueno es tener amigos, aunque sea en el infierno."
"Bueno y barato, no caben en el mismo saco."
Buenos y tontos se confunden al pronto.
Buey fuerte y garrudo y el labrador desnudo.
Buey que alza y buey que abaja hacen mala yunta.
Buey que no está en el mercado no es vendido ni comprado.
Buey viejo camina en firme y no tropieza.
"Buey viejo no pisa mata y si la pisa, no la maltrata."
"Buey viejo, surco derecho."
Burra que gime buena carga pide.
Burra que tiene pollino no va derecha al molino.
"Burrito que compra libros, burrito que los carga."
"Burro chiquito, siempre mocito."
"Burros calvos ninguno vi, burros canos, más de mil."
Buscaba el necio su asno y lo tenía debajo.
"Búscala delgada y bonita, que gorda y fea solita se pondrá."
Buscan trabajo rogando a Dios no hallar.
"Caballo ajeno, primero la silla y luego el freno."
"Caballo alazán ruan, ni dado, si te lo dan."
"Caballo alazán y gente de Zacatlán, ni dados si te los dan."
"Caballo bañado, a la sombra o ensillado."
"Caballo blanco, ojalá cojo o manco."
"Caballo blanco, solo de lejos, pues de montarlo, los muy pendejos."
"Caballo chiquito, siempre es potrillito."
Caballo corredor no necesita espuelas.
"Caballo de andadura, poco dura."
Caballo de buena banda no necesita espuelas.
"Caballo de dos pelos, dos caballos."
"Caballo de pobre, pobre caballo."
"Caballo de regalo, dalo por bueno aunque sea malo."
"Caballo de rico, rico caballo."
"Caballo grande, ande o no ande."
"Caballo grullo o flor de durazno, mejor asno."
"Caballo grullo, ni mío ni tuyo."
"Caballo mal arrendado, ni regalado."
"Caballo manso tira a penco, mujer coqueta, tira a puta"
y hombre honrado tira a pendejo.
"Caballo moro, casi un tesoro."
"Caballo moro, ni de oro y si es de cabeza prieta, pura cajeta."
"Caballo moro, ni de oro."
"Caballo que al trote arranca, pronto para."
"Caballo que alcanza, gana."
"Caballo que alcanza, pasar querría."
"Caballo que bien anda, cualquiera lo monta y gana."
"Caballo que cambia de manos, cambia de valor."
"Caballo que coge el freno, ha dejado de ser bueno."
"Caballo que ha de ir a la guerra, ni come lobo ni aborta yegua."
"Caballo que llene las piernas, mujer que llene los brazos"
y gallo que llene las manos.
Caballo que no sale del establo siempre relincha.
Caballo que vuela no quiere espuela.
"Caballo sin tacha o mengua, no lo ha parido una yegua."
"Caballo viejo para cabalgar, leña vieja para quemar, vino viejo..."
"...para beber, amigo viejo para conversar y libro viejo para descansar."
"Caballo, gallo y mujer, por la raza has de escoger."
"Caballo, mujer o escopeta, a nadie se presta."
"Cabeza grande, talento chico."
"Cabeza vana, no crea cana."
Cacheche pa que che beche.
"Cachetona, Chichona y nalgona, huevona la cabrona."
Cada botón con su ojal.
Cada cabeza es un mundo.
Cada cabeza es un piojero.
Cada campana suena según el metal de que está hecha.
"Cada caporal, donde mejor le parece, pone la puerta de su corral."
Cada chango a su mecate y a columpiarse cabrones.
Cada chango a su mecate y cada gallo a su corral.
Cada Corpus y San Juan.
Cada cosa en su tiempo y los nabos en adviento.
Cada cual en su corral.
Cada cual se rasca donde le pica.
"Cada día gallina, amarga la cocina."
"Cada día que amanece, la suma de tontos crece."
"Cada gallo canta en su corral, pero el mexicano,..."
"...que es muy bueno, canta en el suyo y en el ajeno."
Cada gallo canta en su muladar.
Cada garañón relincha en su potrero.
Cada loco con su tema.
"Cada lunes y martes, hay tarugos por todas partes."
Cada maestrillo trae su librillo.
Cada mochuelo a su olivo.
Cada mortal lleva su cruz a cuestas.
Cada muchacho trae su torta.
Cada mundo es una cabeza. (en Mérida)
Cada oveja con su pareja.
Cada palito tiene su humito.
"Cada paso que da el zorro, se acerca más a la peletería."
Cada perico a su estaca y cada chango a su mecate.
Cada perro tiene su hueso aunque se levante tarde.
Cada pueblo tiene el gobierno que se merece.
"Cada que me emborracho, palabra que algo me pasa."
Cada quien agarra a su pendejo.
Cada quien alaba a su santo.
Cada quien aterriza donde puede.
Cada quien cosecha lo que siembra.
Cada quien es dueño de su miedo.
"Cada quien habla de la feria según le va en ella,"
Cada quien haga de su cola un papalote y lo empine cuando quiera.
Cada quien mastica con los dientes que tiene.
"Cada quien reniega de su oficio, pero no de su vicio."
Cada quien sabe donde le aprieta el zapato.
Cada quien sabe lo que carga en su costal.
Cada quien se pone la corona que se labra.
Cada quien se rasca con sus propias uñas.
Cada quien sufre como quiere.
Cada quien tiene la suerte que merece.
Cada quien tiene lo que merece.
Cada quien tiene lo que se granjea.
Cada quien tiene su modo de dar chiche.
Cada quien tiene su modo de matar pulgas.
"Cada quien, con su cada cual."
Cada santo elogia su parroquia.
Cada segundo nace un chino y un tarugo.
"Cada uno atiende más a la pasión, que a lo que dicta la razón."
Cada uno cuenta de la feria como le va en ella.
Cada uno en su casa y Dios en la de todos.
Cada uno estornuda como Dios le ayuda.
Cada uno sabe un poquito y entre todos un muchito.
"Cada uno se mida con su palmo y así,..."
...ni el gigante es gigante ni el enano es enano.
Cada uno tiene su manera de dar chichi.
Cada uno tiene su propio parecer bueno o malo.
"Cada vez que me baño se tapa el caño,..."
...por eso me baño una vez al año.
Cada viejito alaba su bordoncito. (Cada viejo alaba su bordón)
Cada viejo al lado de su bastón.
Cae más pronto un hablador que un cojo.
"Cae plátano, pero no cae pelado."
"Cagar y comer, despacio ha de ser."
"Caja que tuvo alcanfor, algo le queda de olor"
¡Calabacitas tiernas; ay que bonitas piernas!.
"Calabaza caliente, pedo de repente."
"Calabaza fría, pedo todo el día."
Calentura de pollo y mal de perrera para no ir a la escuela.
"Calienta más una mentada, que una estufa."
"Callando el necio, se hizo diestro."
"Callar y obrar, por la tierra y por el mar."
"Cálmate un año, qué tantos son doce meses."
"Calor de marzo temprano, para el campo muy sano."
"Camarón que se duerme, amanece en un cocktail. (tiene sueño)"
"Camarón que se duerme, no amanece desvelado."
"Camarón que se duerme, se lo lleva la corriente."
"Caminando la carreta, se acomodan las calabazas."
"Caminante cansado, monta en asno si no tiene caballo."
"Campanas, lenguas y limas, Silao las tiene finas."
"Campeona de natación. (nada de pecho, nada de nada)"
"Canas y dientes, son accidentes."
"Canastos padres, chiquihuites hijos."
Candil de la calle y oscuridad de su casa.
"Cansado de lo bueno, ya lo regular me estorba. (me empacha)."
Cansado de velar cadáveres y no mugres (pinches)...
...muertos con cabeza de cerillos.
"Cantar bien es de pocos y cantar mal, de locos."
"Cantarillo que muchas veces va a la fuente, o deja el asa o la frente."
Canten calandrias o les apachurro el nido.
"Caporal del agua dulce, vaquero de sangre noble."
Cara de ángel y entrañas de demonio.
"Caras vemos, corazón tu dirás lo que hacemos."
"Caras vemos, corazones no sabemos. (cromosomas no sabemos.)"
"Carcacha, carcacha; todo lo que me digas, se te retacha."
Carga que agrada no es pesada.
Carne carne cría y peces el agua fría.
Carne que crece no puede estar sino mece.
Carne vieja hace buen caldo.
Caro compró el que rogó.
Carrera que no da el caballo en el cuerpo la tiene.
Carro que no tiene gasolina no llega a ninguna parte.
"Carta que se niega y mujer que se va, ni buscarlas."
"Cartucheras al cañón, quepan o no quepan."
Casa a tu hijo con igual y no dirán de ti mal.
"Casa con dos puertas, dos llaves necesita."
"Casa donde amanece tarde, Dios nos guarde."
"Casa mal avenida, presto es vendida."
"Casa quitada, ni barrida, ni apagada."
"Casa sucia, huéspedes anuncia."
"Casa y potro, que los haga otro. (Casa, labor y potro...)"
"Casados que no se besan, no se tienen voluntad."
"Casados que se separan, fuego eterno se preparan."
"Casamiento a edad madura, cornamenta o sepultura."
"Casamiento de pobres, fábrica de limosneros."
"Casar, bueno es mentar y malo de llevar."
"Cásate Juan, que las piedritas se volverán pan."
"Cascudo caballo, sólo a un jinete muy atrabancado."
"Casi todo lo ganado, entra por la boca y sale por el excusado."
Cataplasmas del olvido con fomentos de otro amor;
"pero seguido, hasta que calme el dolor."
Celoso de la honra y desentendido de la obligación. (del gasto)
Celoso del mico y desentendido del pico.
"Cenas, soles y Magdalenas, tienen las sepulturas llenas."
"Centeno de mala caña, presto crece."
"Cielo algodoncito, agua al cantarito."
"Cielo de panza de burra, agua segura."
"Cien cabezas, cien sentencias."
"Cobarde, que de serlo te hace alarde, no lo creas, aunque lo veas."
Cobija que no calienta no merece bocamanga.
"Coche y hambre, cochambre."
Cógelas volando y mátalas callando. (Cógelas al vuelo...)
"Cojo, cojo, pero cojo."
Coloradas por fuera y podridas por dentro.
"Comamos los huevos a medias, tu las claras y yo las yemas."
Coman mis dientes y renieguen mis parientes.
"Coman mis dientes, aunque no coman mis parientes."
"Come camote, no te de pena, cuida tu casa, deja la ajena."
Come con él y guárdate del.
Come para vivir y no vivas para comer.
Come santos y caga diablos.
Comen como puercos y miran como perros.
Comen frijoles y eructan pollo.
"Comer bien, tomar bastante, fumar fuerte y..."
...que se vaya al diablo la muerte.
Comer hasta enfermar y ayunar hasta sanar.
"Comer hasta reventar, beber hasta emborracharse, lo demás es vicio."
Comer para vivir y no vivir para comer.
Comer poco y beber menos a lujuria ponen freno.
Comer verdura y echar mala ventura.
Comer y beber hecha la casa a perder.
"Comer y rascar, todo es empezar. (Comer y roncar...)"
"Comer, cagar y coger, despacio ha de ser."
Comete tres veces el pecado y terminarás por creer que es lícito.
Comezón; sanazón o pudrición.
Comida fría y bebida caliente nunca hicieron buen vientre.
"Comida hecha, compañía desecha. (Comida acabada...)"
Comido el bocado. el amigo olvidado.
"Comiste la tuna, arrojarás la pepa."
"¡Cómo amaneciste, vieja!... ¡Cómo amaneciste vieja!..."
"...¿¡Cómo!?, ¿Amaneciste, vieja?"
Como ataque indio; en bola y a lo pendejo.
Como burros con bozal o caballo que coge el freno.
"Como buscar a ""mi hijo bachiller"" en Salamanca"
Como buscar una aguja en un pajar.
Como calzón de piruja; sube y baja.
"Como canta el abad, responde el sacristán."
"Como cochino recién comprado, desconociendo el mecate."
"Como costal de carbonero, malo por fuera y peor por dentro."
"Como cuchillo de San Bartolo, puntiagudo y sin filo."
Como dice el chinito; di tu plimelo.
"Como dicen las huilas de mi pueblo; poco dinero, poco meneo."
Como dijo Ali baba; este papi se les va.
Como dijo Dimas a Gestas; hazte p'alla que apestas.
Como dijo el ahorcado; estaré pendiente.
Como dijo el chinito; aquí nomás milando.
Como dijo el ciego; como veo doy.
Como dijo el contador; debe haber y no hay.
Como dijo el descuartizador; vamos por partes.
Como dijo el manco; a mi que me registren.
Como dijo el padre Anselmo en su ya famosa carta;
"la mujer que ha de ser de uno, solita viene y se ensarta."
Como dijo Gestas a Dimas;...
...a pa'semanita santa que nos estamos pasando.
Como dijo Gestas; ¡Qué chingaderas son estas!.
Como dijo la mesera; en eso no quedamos.
Como dijo la viejita; a la antigüita.
"Como dijo San Andrés; el que tiene cara de menso, lo es."
Como dijo Sócrates; Yo solo se que no he cenado.
Como dijo tío Ruquio: juímonos y estábamos varados.
Como dijo Westinhouse; cada quien para su haus.
Como dijo Westinhouse; ¿que chingaus?.
Como Dios de a entender.
Como dos gotas de agua.
"Como dueño de mi atole, lo menearé con un palo."
"Como el acto de contrición, que ni peca ni da tentación."
"Como el apóstol trece, come y desaparece."
"Como el buen chocolate, que no hace asientos."
Como el burro del aguador; cargado de agua y muerto de sed.
Como el burro que tocó la flauta.
Como el chile piquín; chiquito pero picoso.
"Como el cohetero; que si queda bien le chiflan y si queda mal, le chiflan."
"Como el conejo...chiquito, orejón y ...tonto."
Como el diablo donde no hay cruces.
Como el epitafio del hipocondríaco: No que no.
"Como el gallo de tía Cleta; pelón, pero cantador."
Como el gallo del jugador; pelón pero peleador.
Como el Lic. Orozco; cuando como no conozco
"y acabando de comer, comienzo a reconocer."
Como el limón; a grito pelado.
Como el maistro Cirilo; que cose de oquis y pone el hilo.
Como el perro de las dos tortas; ni come ni deja comer.
"Como el perro de tía Cleta; la primera vez que ladró, le rompieron la jeta."
"Como el perro del herrero, que a los martillazos ronca"
y a los mosquitos despierta. (martillazos duerme y a los masquidos...)
Como el perro del hortelano; que te mueve la cola y te muerde la mano.
Como el que chifló en la loma.
Como el que pinta el gato y se asusta con el garabato.
Como el que vomita y tapa por no oler su porquería.
"Como el tiempo dure, lugar tiene la esperanza."
"Como el viejo decía; si las cosas que valen la pena,"
"fueran fáciles, cualquiera las haría."
Como el violín de Contla: templado a todas horas.
Como enfermedades de vieja;...
"...que cuando no le duele la pata, duele la oreja."
Como entierro de pobre; al trote y sin acompañamiento.
Como éramos pocos; parió la abuela.
Como eres tuerta de un ojo te me has vuelto pajarera.
Como es el sapo es la pedrada.
"Como es la campanada, es la badajada."
"Como es tu trapo, es tu trato."
Cómo estará el infierno que hasta los diablos se salen.
Como gallina nueva en el corral.
Como gato boca arriba.
"Cómo he de adorarlo Cristo, si yo lo conocí guayabo?"
Como jarrito de Tlaquepaque: feo y delicado.
Como jarro de Guadalajara; que con cualquier cosa se raja.
Como Juan panadero y el toro: golpe a golpe.
"Como la caca del perico, ni huele ni jiede."
"Como la caniquita, ya le vas llegando al hoyito."
Como la chaqueta de don Justo: arreglada y sin botones.
"Como la chía, que no era pero se hacia."
Como la chiva de Tía Cleta que se come los petates
y se asusta con los aventadores.
